FirstName,LastName,Name,Course,Term
 Debaleena,Chattopadhyay,Debaleena Chattopadhyay, CS 535 - User Experience Research Methods,Spring 2025
 Andruid,Kerne,Andruid Kerne, CS 377 - Ethical Issues in Computing,Spring 2025
 Siddharth,Kumar,Siddharth Kumar, CS 569 - High-Performance Processors and Systems,Spring 2025
 Zhiling,Lan, Zhiling Lan, CS 594 - Emerging Trends in Large-Scale Computer Systems,Spring 2025
 Georgeta-Elisabeta,Marai,G. Elisabeta Marai, CS 426 - Video Game Design and Development,Spring 2025
 Joseph,Michaelis,Joseph Michaelis, CS 422 - User Interface Design and Programming,Spring 2025
 Fabio,Miranda, Fabio Miranda, CS 424 - Visualization and Visual Analytics,Spring 2025
 Michael,Papka, Michael Papka, CS 455 - Introduction to High Performance Computing,Spring 2025
 Wei,Tang, Wei Tang, CS 515 - Advanced Computer Vision,Spring 2025
 Daria,Tsoupikova, Daria Tsoupikova, DES 427 - Creative Coding,Spring 2025
 Michael,Papka, Michael Papka, CS 427 - Creative Coding,Spring 2025
 Debaleena,Chattopadhyay, Debaleena Chattopadhyay, CS 522 - User Experience Research Methods,Fall 2025
 Andruid,Kerne, Andruid Kerne,CS 422 -,Fall 2025
 Zhiling,Lan, Zhiling Lan, CS 455 - Introduction to High Performance Computing,Fall 2025
 Siddharth,Kumar, Siddharth Kumar,CS 480,Fall 2025
 Georgeta-Elisabeta,Marai,G. Elisabeta Marai,CS 529,Fall 2025
 Joseph,Michaelis,Joseph Michaelis,CS 531,Fall 2025
 Wei,Tang, Wei Tang,,Fall 2025
Khairi,Reda,Khairi Reda,,Fall 2025
