Code,ShortTitle,LongTitle,Funder,PI,SubawardFrom,TotalAward,UICAward,StartDate,EndDate,CoI,Link
OAC-2003800,CSSI Frameworks: SAGE3: Smart Amplified Group Environment for Harnessing the Data Revolution,Collaborative Research: CSSI Frameworks: SAGE3: Smart Amplified Group Environment for Harnessing the Data Revolution,National Science Foundation,Luc Renambot,,"$2,250,000","$2,250,000","2020-05-15","2025-04-30",Andrew Johnson,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2003800
CCF-2316157,PPoSS: Large: A Full-stack Approach to Declarative Analytics at Scale,Collaborative Research: PPoSS: Large: A Full-stack Approach to Declarative Analytics at Scale,National Science Foundation,Sidharth Kumar,,"$2,632,812","$2,632,812","2023-08-01","2028-07-31",,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2316157
CCF-2401274,SHF: Small: Scalable and Extensible I/O Runtime and Tools for Next Generation Adaptive Data Layouts,Collaborative Research: SHF: Small: Scalable and Extensible I/O Runtime and Tools for Next Generation Adaptive Data Layouts,National Science Foundation,Sidharth Kumar ,,"$300,165","$300,165","2023-10-01","2026-06-30",,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2401274
CNS-2320261,MRI: Track 2 Acquisition of Data Observation and Computation Collaboratory (DOCC),Research Infrastructure: MRI: Track 2 Acquisition of Data Observation and Computation Collaboratory (DOCC),National Science Foundation,Luc Renambot,,"$1,548,545","$1,548,545","2023-10-01","2026-09-30","Michael Papka, G. Elisabeta Marai, Fabio Miranda, Nikita Soni, Andrew Johnson",https://www.nsf.gov/awardsearch/showAward?AWD_ID=2320261
OAC-2331263,NAIRR Pilot: A National-Scale Testbed Supporting Artificial Intelligence Research Spanning the Computing Continuum,NAIRR Pilot: A National-Scale Testbed Supporting Artificial Intelligence Research Spanning the Computing Continuum,National Science Foundation,Michael Papka,Northwestern University,"$1,850,000","$1,850,000","2023-10-01","2026-09-30",,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2331263
OAC-2440948,NAIRR Software Workshop,Conference: NAIRR Software Workshop,National Science Foundation,Michael Papka,,"$100,000","$100,000","2024-04-01","2025-03-31",,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2440948
OAC-2411223,CSSI Frameworks: Cyberinfrastructure to Catalyze and Sustain the Urban Computing Community, CSSI Frameworks: Cyberinfrastructure to Catalyze and Sustain the Urban Computing Community,National Science Foundation,Fabio Miranda,,"$1,750,000","$1,750,000","2024-09-01","2029-08-31",,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2411223
OAC-2402901,AIMCI: AI-Guided Resource Management for Advanced Cyberinfrastructure,AIMCI: AI-Guided Resource Management for Advanced Cyberinfrastructure,National Science Foundation,Zhiling Lan,,"$600,000","$600,000","2025-01-01","2027-12-31",Michael Papka,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2402901
OAC-2436842,Sage Grande: An Open Artificial Intelligence Testbed for Edge Computing and Intelligent Sensing,Sage Grande: An Open Artificial Intelligence Testbed for Edge Computing and Intelligent Sensing,National Science Foundation,Michael Papka,Northwestern University,"$25,599,912","$1,035,000","2025-02-15","2030-01-31",,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2436842
NCI-R01CA258827,Longitudinal Spatial-Nonspatial Decision Support for Competing Outcomes in Head and Neck Cancer Therapy,Longitudinal Spatial-Nonspatial Decision Support for Competing Outcomes in Head and Neck Cancer Therapy,National Institutes of Health,G. Elisabeta Marai,,"$2,797,868","$2,797,868","2021-03-01","2026-02-28",,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=R01CA258827&arg_ProgOfficeCode=110
DE-SC0023524,C&#178; the P&#178; Chicagoland Computational Traineeship in High Energy and Particle Physics,C2 the P2 Chicagoland Computational Traineeship in High Energy and Particle Physics,Department of Energy,Michael Papka,Northern Illinois University,"$2,600,000","$2,600,000","2023-10-01","2028-09-30",,
DE-SC0024271,Tachyon: Intelligent Multi-Scale Modeling of Distributed Resilient Infrastructure and Workflows for Data Intensive HEP Analyses,Tachyon: Intelligent Multi-Scale Modeling of Distributed Resilient Infrastructure and Workflows for Data Intensive HEP Analyses,Department of Energy,Zhiling Lan,,"$7,500,000","$1,500,000","2023-10-01","2028-09-30",,
0J-60008-0050A,Data Sharing and Analysis Across Leadership Computing Facilities,Data Sharing and Analysis Across Leadership Computing Facilities,Department of Energy,Michael Papka,Argonne National Laboratory,"$99,462","$99,462","2023-08-16","2025-12-31",,
,Tele-robotics to Tele-autonomous Robotics for Isotope Production,Tele-robotics to Tele-autonomous Robotics for Isotope Production,Department of Energy,Michael Papka,Argonne National Laboratory,"$93,340","$93,340","2024-02-12","2026-02-11",,
CCF-2515009,SHF:Small: Beyond Performance: Energy-Conscious High Performance Computing,Beyond Performance: Energy-Conscious High Performance Computing,National Science Foundation,Zhiling Lan,,"$540,000","$540,000","2025-10-01","2028-09-30",Michael Papka,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2515009
ISS-2442540,CAREER: Compositional Learning and Understanding of the Physical World,CAREER: Compositional Learning and Understanding of the Physical World,National Science Foundation,Wei Tang,,"$539,051","$539,051","2025-07-01","2030-06-30",,https://www.nsf.gov/awardsearch/showAward?AWD_ID=2442540
,Digital Twins and AI-enabled Immmersive Environments for Automated Scientific Laboratories (DAIMSL),Digital Twins and AI-enabled Immmersive Environments for Automated Scientific Laboratories (DAIMSL),Department of Energy,Michael Papka,Argonne National Laboratory,"$182,999","$182,999","2024-11-01","2026-10-31",,
